n,param,chunk_size,status,compile_time_s,run_time_s,grad,peak_mem_bytes,subprocess_s
500,c_k,8,OK,321.0875027179718,21.395846605300903,-160.38744324551234,3744545536,390.53214931488037
1000,c_k,8,OK,204.43697500228882,41.8343939781189,-667.5183823739872,6745584384,298.0178117752075
2000,c_k,8,CRASHED(rc=1),,,,,283.0383746623993
500,c_eps,8,OK,317.6115999221802,21.20678687095642,-14.353125939555788,3737729536,364.36299109458923
1000,c_eps,8,OK,205.7321286201477,41.47091317176819,-70.11711572221233,6741239552,276.3848876953125
2000,c_eps,8,CRASHED(rc=1),,,,,261.039986371994
2000,c_k,32,OK,456.7015781402588,85.30632424354553,-1242.3680204075135,4817856512,
5000,c_k,32,OK,457.9036636352539,247.8459551334381,-4.509661263329946e+30,9299434496,
10000,c_k,64,OK,458.49771308898926,669.9810700416565,1.3976896235087817e+114,10730163712,
