step,loss,c_k,c_eps,grad_c_k,grad_c_eps,step_time_s
0,4.08268728291148,0.08,0.6,-507.0341681177657,51.11966283634729,83.30239844322205
1,2.5943284595806437,0.08199999999996056,0.5980000000003912,-506.7092783808692,50.67052072516442,82.81031370162964
2,1.335145947141883,0.08399996648257155,0.5960004795183921,-118.3100285832398,11.50165136294684,82.7838134765625
3,0.6698093945774706,0.08573348620118801,0.5942724869752801,-207.95956750237207,15.449601862986274,82.79971933364868
4,0.7190498919208317,0.08741873048300061,0.5926465779608334,119.51434382117971,-45.15159168482463,82.89954447746277
5,1.027094840433148,0.08865491051581277,0.5920378990803031,5618912.224242434,-536579.4875521396,84.89753222465515
6,0.7307473168748277,0.0876108196485039,0.5930820496812137,-218521.07169914604,12397.24821014251,83.54689455032349
7,0.6288921505720891,0.08673907644388494,0.5939702628364014,-157.6058295810837,-1.2306012167413511,82.74870657920837
8,0.6368534235671788,0.08597061022545355,0.5947532783999818,-354.8374369912547,18.9945188683978,82.83439493179321
9,0.7856516861565597,0.08528847689693857,0.5954483548368649,-188.9321317328138,15.050631493581303,82.78491282463074
10,1.0394771298650438,0.08467972115987424,0.5960686673963481,-313.46331263987213,28.023939186251905,82.75195264816284
11,1.3086232165669063,0.08413421547111519,0.596624533584863,-366.9417958624747,36.876830670650804,82.81938338279724
12,1.5689533589958047,0.08364379503649116,0.5971242661772904,-573.4038398627558,54.4067402076997,82.78401017189026
13,1.9363481408863665,0.08320177859409215,0.5975746781338312,-768.7590314419973,69.68876425262769,82.83530926704407
14,2.193934350477976,0.08280258565570353,0.5979814624053696,-610.0898602531432,58.447277382968984,82.83362579345703
15,2.4115884307512387,0.08244143074416478,0.5983494869154922,-141.38463752276212,28.440644015812772,82.96910095214844
16,2.5700393162304804,0.0821141579475254,0.5986829579240165,-458.41899670581915,44.26371257749761,82.77189064025879
17,2.735281494278376,0.08181730572661558,0.5989854328138857,-722.8040378303732,55.70976551116277,82.79923462867737
18,2.934523318441663,0.08154784853862455,0.5992600209658108,-403.94551231566464,46.39273346825421,82.75537729263306
19,3.0650288059485264,0.08130302659670066,0.5995094914056439,-540.8358859103461,53.04981672821801,82.77956295013428
20,3.2137693658386493,0.08108048151847852,0.599736261153934,-605.6477073013964,55.72461742182433,82.8210289478302
21,3.4046466095622163,0.0808781068319917,0.5999424837218271,-5880.049226202207,382.66447926861593,82.78659510612488
22,3.58641759989609,0.08069499105687329,0.6001294491662688,-13085734.470917976,952946.2879749084,84.53932356834412
23,2.9183165407002263,0.08159255400251382,0.5992986158221357,-1101.8585134266038,95.50216326376939,82.76614952087402
24,2.4214085909228653,0.08241007464169435,0.598541857287408,-152.38253882782544,27.097700488471204,82.9412477016449
25,1.99182361616053,0.08315476051745475,0.5978525040998267,-718.3276701364604,66.1743078579759,82.74383902549744
26,1.4769471180842855,0.08383323021884097,0.597224431939726,-474.6737339248877,45.505914340245454,82.69545841217041
27,1.1313878092595713,0.0844514081772399,0.5966521611170174,-651.6797648444451,53.734621678374396,82.77105331420898
28,0.9204040807538512,0.08501469355938963,0.5961306988558787,-355.9555616602964,38.947725124732095,82.65282940864563
29,0.7392667782361224,0.08552794735061364,0.5956555393219466,-18011.684703493385,1170.2473336462647,82.8255295753479
30,0.6370519566421621,0.08599702195046338,0.5952213939685148,-126.56939849984938,8.056450546604738,82.81968212127686
31,0.6122449224310995,0.08642439386529172,0.5948258469304091,-0.3508066693533935,-26.771078562214214,82.84490180015564
32,0.6224662030086371,0.08681373709208319,0.5944655253886671,11781.362355616611,-868.47770184514,82.76732015609741
33,0.6339896189068044,0.08716742822812999,0.5941382328851904,122.69384957204905,-21.68980542910772,82.70492815971375
34,0.6827836651114358,0.08748958094370303,0.5938401390762738,893.6695224877957,-94.84182139071211,82.69289088249207
35,0.7531605913125841,0.08778290983895842,0.593568751289999,318.25334048538497,-46.207406820095464,82.78673434257507
36,0.8176684360381707,0.08805000480661385,0.5933216616242639,-1787.461857393329,107.02944584893264,82.82178831100464
37,0.884791508759998,0.08829336263937523,0.5930965537377431,341.6966033087013,-63.63205223160797,82.83275866508484
38,0.9346366555272049,0.08851489194970011,0.592891682633307,279.13618664528406,-55.65677738260182,82.82054305076599
39,1.0091465070617034,0.0887165258082943,0.5927052525599051,-719.7896800411303,53.21593482351183,82.69257378578186
